year,away_team,away_score,home_team,home_score
2008,Philadelphia Phillies,2,Tampa Bay Rays,4
2008,Tampa Bay Rays,4,Philadelphia Phillies,5
2008,Tampa Bay Rays,2,Philadelphia Phillies,10
2008,Tampa Bay Rays,3,Philadelphia Phillies,4
2009,Philadelphia Phillies,6,New York Yankees,1
2009,Philadelphia Phillies,1,New York Yankees,3
2009,New York Yankees,8,Philadelphia Phillies,5
2009,New York Yankees,7,Philadelphia Phillies,4
2009,New York Yankees,6,Philadelphia Phillies,8
2009,Philadelphia Phillies,3,New York Yankees,7
2010,Texas Rangers,7,San Francisco Giants,11
2010,Texas Rangers,0,San Francisco Giants,9
2010,San Francisco Giants,2,Texas Rangers,4
2010,San Francisco Giants,4,Texas Rangers,0
2010,San Francisco Giants,3,Texas Rangers,1
2011,Texas Rangers,2,St. Louis Cardinals,3
2011,Texas Rangers,2,St. Louis Cardinals,1
2011,St. Louis Cardinals,16,Texas Rangers,7
2011,St. Louis Cardinals,0,Texas Rangers,4
2011,St. Louis Cardinals,2,Texas Rangers,4
2011,Texas Rangers,9,St. Louis Cardinals,10
2011,Texas Rangers,2,St. Louis Cardinals,6
2012,Detroit Tigers,3,San Francisco Giants,8
2012,Detroit Tigers,0,San Francisco Giants,2
2012,San Francisco Giants,2,Detroit Tigers,0
2012,San Francisco Giants,4,Detroit Tigers,3
2013,St. Louis Cardinals,1,Boston Red Sox,8
2013,St. Louis Cardinals,4,Boston Red Sox,2
2013,Boston Red Sox,4,St. Louis Cardinals,5
2013,Boston Red Sox,4,St. Louis Cardinals,2
2013,Boston Red Sox,3,St. Louis Cardinals,1
2013,St. Louis Cardinals,1,Boston Red Sox,6
2014,San Francisco Giants,7,Kansas City Royals,1
2014,San Francisco Giants,2,Kansas City Royals,7
2014,Kansas City Royals,3,San Francisco Giants,2
2014,Kansas City Royals,4,San Francisco Giants,11
2014,Kansas City Royals,0,San Francisco Giants,5
2014,San Francisco Giants,0,Kansas City Royals,10
2014,San Francisco Giants,3,Kansas City Royals,2
2015,New York Mets,4,Kansas City Royals,5
2015,New York Mets,1,Kansas City Royals,7
2015,Kansas City Royals,3,New York Mets,9
2015,Kansas City Royals,5,New York Mets,3
